flags,utterance,category,intent,Column1,Column2
B,problem with canceling the order I have made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: problem with canceling the order I have made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: problem with canceling the order I have made

Category: ORDER

<|endoftext|>"
BIP,could you help me cancelling an order I made?,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: could you help me cancelling an order I made?

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: could you help me cancelling an order I made?

Category: ORDER

<|endoftext|>"
B,question about canceling the last order I made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: question about canceling the last order I made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: question about canceling the last order I made

Category: ORDER

<|endoftext|>"
BM,I want to know more about order cancelations,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I want to know more about order cancelations

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I want to know more about order cancelations

Category: ORDER

<|endoftext|>"
BIP,could you help me to cancel an order?,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: could you help me to cancel an order?

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: could you help me to cancel an order?

Category: ORDER

<|endoftext|>"
BIP,could you help me cancel the last order I have made?,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: could you help me cancel the last order I have made?

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: could you help me cancel the last order I have made?

Category: ORDER

<|endoftext|>"
BI,where do I cancel the last order?,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: where do I cancel the last order?

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: where do I cancel the last order?

Category: ORDER

<|endoftext|>"
B,I try to cancel the order I made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I try to cancel the order I made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I try to cancel the order I made

Category: ORDER

<|endoftext|>"
B,help me cancelling an order I made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: help me cancelling an order I made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: help me cancelling an order I made

Category: ORDER

<|endoftext|>"
B,help me canceling the order I made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: help me canceling the order I made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: help me canceling the order I made

Category: ORDER

<|endoftext|>"
BI,where can I cancel the order I have made?,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: where can I cancel the order I have made?

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: where can I cancel the order I have made?

Category: ORDER

<|endoftext|>"
B,I don't know how to cancel an order I made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I don't know how to cancel an order I made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I don't know how to cancel an order I made

Category: ORDER

<|endoftext|>"
BP,I would like to cancel an order,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I would like to cancel an order

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I would like to cancel an order

Category: ORDER

<|endoftext|>"
BE,I do not know how I can cancel an order I have made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I do not know how I can cancel an order I have made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I do not know how I can cancel an order I have made

Category: ORDER

<|endoftext|>"
B,I want assistance to cancel the last order I have made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I want assistance to cancel the last order I have made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I want assistance to cancel the last order I have made

Category: ORDER

<|endoftext|>"
B,help with canceling an order I made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: help with canceling an order I made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: help with canceling an order I made

Category: ORDER

<|endoftext|>"
B,I don't know how to cancel my last order,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I don't know how to cancel my last order

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I don't know how to cancel my last order

Category: ORDER

<|endoftext|>"
B,I don't know how to cancel the order I made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I don't know how to cancel the order I made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I don't know how to cancel the order I made

Category: ORDER

<|endoftext|>"
BI,can you help me to cancel the order I made?,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: can you help me to cancel the order I made?

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: can you help me to cancel the order I made?

Category: ORDER

<|endoftext|>"
B,help to cancel my order,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: help to cancel my order

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: help to cancel my order

Category: ORDER

<|endoftext|>"
BI,how do I cancel my order?,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: how do I cancel my order?

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: how do I cancel my order?

Category: ORDER

<|endoftext|>"
BI,how do I cancel the last order I made?,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: how do I cancel the last order I made?

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: how do I cancel the last order I made?

Category: ORDER

<|endoftext|>"
B,I can't pay for my last order,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I can't pay for my last order

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I can't pay for my last order

Category: ORDER

<|endoftext|>"
B,help me cancelling the last order I have made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: help me cancelling the last order I have made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: help me cancelling the last order I have made

Category: ORDER

<|endoftext|>"
BIM,how can I find information about cancelling orders?,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: how can I find information about cancelling orders?

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: how can I find information about cancelling orders?

Category: ORDER

<|endoftext|>"
B,I need assistance with canceling the last order I have made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I need assistance with canceling the last order I have made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I need assistance with canceling the last order I have made

Category: ORDER

<|endoftext|>"
B,I have to cancel my last order,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I have to cancel my last order

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I have to cancel my last order

Category: ORDER

<|endoftext|>"
B,cancel an order I have made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: cancel an order I have made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: cancel an order I have made

Category: ORDER

<|endoftext|>"
B,I have a question about cancelling my last order,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I have a question about cancelling my last order

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I have a question about cancelling my last order

Category: ORDER

<|endoftext|>"
B,problem with canceling the last order,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: problem with canceling the last order

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: problem with canceling the last order

Category: ORDER

<|endoftext|>"
B,I want assistance to cancel my order,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I want assistance to cancel my order

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I want assistance to cancel my order

Category: ORDER

<|endoftext|>"
BI,can you help me to cancel my order?,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: can you help me to cancel my order?

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: can you help me to cancel my order?

Category: ORDER

<|endoftext|>"
BK,cancelling order,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: cancelling order

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: cancelling order

Category: ORDER

<|endoftext|>"
BM,I want information about canceling orders,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I want information about canceling orders

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I want information about canceling orders

Category: ORDER

<|endoftext|>"
B,I need help with canceling the order I have made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I need help with canceling the order I have made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I need help with canceling the order I have made

Category: ORDER

<|endoftext|>"
B,help with canceling the order I made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: help with canceling the order I made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: help with canceling the order I made

Category: ORDER

<|endoftext|>"
B,I need help with cancelling my order,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I need help with cancelling my order

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I need help with cancelling my order

Category: ORDER

<|endoftext|>"
BIP,where could I cancel the order I made?,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: where could I cancel the order I made?

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: where could I cancel the order I made?

Category: ORDER

<|endoftext|>"
B,find information about cancelling an order,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: find information about cancelling an order

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: find information about cancelling an order

Category: ORDER

<|endoftext|>"
B,I have got to cancel the last order I made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I have got to cancel the last order I made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I have got to cancel the last order I made

Category: ORDER

<|endoftext|>"
B,I need assistance canceling the last order I have made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I need assistance canceling the last order I have made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I need assistance canceling the last order I have made

Category: ORDER

<|endoftext|>"
BM,question about canceling orders,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: question about canceling orders

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: question about canceling orders

Category: ORDER

<|endoftext|>"
BEP,I do not know how I could cancel the order I have made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I do not know how I could cancel the order I have made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I do not know how I could cancel the order I have made

Category: ORDER

<|endoftext|>"
BM,I have problems with canceling my last order,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I have problems with canceling my last order

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I have problems with canceling my last order

Category: ORDER

<|endoftext|>"
B,help with cancelling the order I have made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: help with cancelling the order I have made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: help with cancelling the order I have made

Category: ORDER

<|endoftext|>"
B,I need assistance with canceling the order I have made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I need assistance with canceling the order I have made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I need assistance with canceling the order I have made

Category: ORDER

<|endoftext|>"
B,problem with cancelling an order I have made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: problem with cancelling an order I have made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: problem with cancelling an order I have made

Category: ORDER

<|endoftext|>"
B,I try to cancel the last order I have made,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I try to cancel the last order I have made

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I try to cancel the last order I have made

Category: ORDER

<|endoftext|>"
BMP,I would like to know about order cancellations,ORDER,cancel_order,"Classify the Intent of the Dialogue.

Dialogue: I would like to know about order cancellations

Intent: cancel_order

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I would like to know about order cancellations

Category: ORDER

<|endoftext|>"
